,0,1,2,3,4,5,6,7
283,2018.0,12.0,27.0,19.0,45.0,6.972222222,15.1,9.9
284,2019.0,5.0,25.0,22.0,15.0,11.24444444,17.3,13.0
285,2019.0,10.0,31.0,19.0,0.0,9.438888889,13.2,11.4
286,2019.0,8.0,19.0,3.0,30.0,15.88888889,8.8,8.9
287,2019.0,7.0,13.0,2.0,30.0,16.5,29.5,30.6
288,2019.0,9.0,20.0,14.0,30.0,15.95555556,3.7,3.3
289,2019.0,5.0,1.0,9.0,30.0,11.61666667,15.9,19.1
290,2019.0,7.0,10.0,12.0,0.0,18.96666667,8.0,9.3
291,2019.0,10.0,20.0,15.0,0.0,12.89444444,3.9,3.5
292,2019.0,8.0,12.0,18.0,30.0,18.96111111,13.5,16.6
293,2019.0,10.0,7.0,20.0,15.0,8.961111111000001,4.8,6.5
294,2019.0,9.0,19.0,16.0,30.0,14.56111111,3.3,2.9
295,2019.0,2.0,21.0,15.0,45.0,7.211111111,7.2,20.6
296,2019.0,7.0,27.0,18.0,0.0,22.49444444,37.3,43.4
297,2019.0,1.0,3.0,22.0,30.0,3.394444444,10.4,9.5
298,2019.0,9.0,30.0,20.0,30.0,10.73333333,4.2,3.9
299,2019.0,9.0,9.0,9.0,15.0,15.68333333,8.6,5.8
300,2019.0,9.0,18.0,14.0,30.0,13.92222222,14.7,7.4
301,2019.0,5.0,23.0,4.0,30.0,10.17777778,10.3,8.4
302,2019.0,3.0,30.0,1.0,45.0,6.294444444,7.1,7.0
303,2019.0,8.0,24.0,8.0,45.0,17.07222222,16.8,13.1
304,2019.0,7.0,10.0,21.0,45.0,17.13333333,38.5,30.9
305,2019.0,9.0,22.0,14.0,0.0,16.23888889,18.7,12.4
306,2019.0,11.0,13.0,11.0,15.0,7.061111111000001,13.4,11.3
307,2019.0,6.0,20.0,23.0,15.0,15.79444444,11.5,10.4
308,2019.0,10.0,17.0,8.0,45.0,12.81666667,6.7,4.0
309,2019.0,10.0,9.0,13.0,45.0,13.17777778,6.3,3.2
310,2019.0,5.0,26.0,19.0,45.0,12.46111111,15.2,15.1
311,2019.0,2.0,5.0,1.0,30.0,3.25,8.1,0.0
312,2019.0,6.0,29.0,11.0,0.0,20.03888889,14.7,19.9
313,2019.0,4.0,29.0,9.0,30.0,9.722222222000001,17.5,21.7
314,2019.0,6.0,7.0,13.0,0.0,16.28333333,25.5,21.7
315,2019.0,9.0,14.0,10.0,30.0,14.61111111,3.6,26.1
316,2019.0,9.0,1.0,0.0,15.0,20.56666667,12.6,11.9
317,2019.0,7.0,26.0,23.0,0.0,20.54444444,35.2,29.1
318,2019.0,6.0,26.0,1.0,0.0,20.37777778,7.9,8.1
319,2019.0,8.0,11.0,8.0,15.0,18.44444444,7.8,11.4
320,2019.0,5.0,25.0,19.0,0.0,12.79444444,15.1,16.4
321,2019.0,11.0,5.0,10.0,45.0,6.811111111000001,22.0,9.1
322,2019.0,3.0,16.0,21.0,45.0,6.255555556,10.5,10.3
323,2019.0,3.0,15.0,0.0,45.0,5.011111111,10.5,10.4
324,2019.0,7.0,17.0,11.0,15.0,17.16666667,30.4,28.9
325,2019.0,7.0,20.0,5.0,0.0,17.28333333,37.1,31.9
326,2018.0,12.0,25.0,20.0,30.0,5.75,10.5,10.0
327,2019.0,2.0,5.0,20.0,45.0,3.577777778,11.9,12.1
328,2019.0,8.0,17.0,6.0,15.0,16.47222222,14.2,13.7
329,2019.0,8.0,5.0,17.0,45.0,20.09444444,20.5,28.7
330,2019.0,1.0,27.0,10.0,30.0,3.433333333,9.9,9.6
331,2019.0,2.0,15.0,18.0,45.0,6.127777778,10.6,10.8
332,2019.0,9.0,21.0,23.0,45.0,14.74444444,16.4,16.1
333,2019.0,5.0,20.0,2.0,0.0,11.98333333,8.1,8.2
334,2019.0,6.0,30.0,6.0,45.0,19.92222222,7.2,9.0
335,2019.0,10.0,13.0,6.0,30.0,11.67777778,3.5,7.8
336,2019.0,11.0,7.0,6.0,0.0,5.1444444439999995,11.8,12.2
337,2019.0,3.0,5.0,2.0,45.0,4.55,9.3,9.2
338,2019.0,7.0,19.0,5.0,0.0,18.1,37.2,36.1
339,2019.0,8.0,2.0,21.0,0.0,19.25555556,35.4,34.2
340,2019.0,8.0,2.0,0.0,30.0,16.83333333,25.7,25.3
341,2019.0,10.0,18.0,17.0,0.0,12.88888889,12.1,13.2
342,2019.0,1.0,4.0,20.0,30.0,6.488888889,10.6,10.3
343,2019.0,8.0,26.0,2.0,0.0,18.82222222,9.5,0.0
344,2019.0,10.0,15.0,22.0,30.0,13.45,8.5,8.6
345,2019.0,9.0,1.0,22.0,15.0,16.31111111,10.4,8.0
346,2019.0,11.0,2.0,4.0,15.0,7.938888888999999,0.0,0.0
347,2019.0,10.0,16.0,12.0,15.0,12.57222222,3.6,3.1
348,2019.0,6.0,1.0,21.0,15.0,13.81666667,43.7,39.6
349,2019.0,2.0,18.0,1.0,30.0,5.233333333,9.4,9.1
